[2020-01-17 09:16:50,648] D:\python demo\OperationalInterface\src\utils\log\log.py->log line:39 [DEBUG]根据：'swyonghu'，数据属性：'swyonghu'，返回的数据类型：'roleName'，返回的数据： [{'name': '普通用户'}] 
[2020-01-17 09:16:51,108] D:\python demo\OperationalInterface\src\utils\log\log.py->log line:39 [DEBUG]根据：'swyonghu'，数据属性：'swyonghu'，返回的数据类型：'userID'，返回的数据： [{'id': '9d62886934e2444d9ba8168d8d8e958c'}] 
[2020-01-17 09:16:51,230] D:\python demo\OperationalInterface\src\utils\log\log.py->log line:39 [DEBUG]根据单位ID查找用户表数据: SELECT mobile FROM sys_user WHERE login_name ='swyonghu' --> D:\python demo\OperationalInterface\src\utils\database\database_sql.py 97 
[2020-01-17 09:16:51,376] C:\Users\tdx\AppData\Local\Programs\Python\Python36\lib\site-packages\urllib3\connectionpool.py->_new_conn line:205 [DEBUG]Starting new HTTP connection (1): 47.106.245.240:8081
[2020-01-17 09:16:51,460] C:\Users\tdx\AppData\Local\Programs\Python\Python36\lib\site-packages\urllib3\connectionpool.py->_make_request line:393 [DEBUG]http://47.106.245.240:8081 "POST /eosp/a/login HTTP/1.1" 200 None
[2020-01-17 09:16:51,801] C:\Users\tdx\AppData\Local\Programs\Python\Python36\lib\site-packages\urllib3\connectionpool.py->_new_conn line:205 [DEBUG]Starting new HTTP connection (1): 47.106.245.240:8081
[2020-01-17 09:16:51,910] C:\Users\tdx\AppData\Local\Programs\Python\Python36\lib\site-packages\urllib3\connectionpool.py->_make_request line:393 [DEBUG]http://47.106.245.240:8081 "POST /eosp/a/app/sj/sjTicketServe/MyRepairListData;JSESSIONID=7df06d1769a943679aa77c955ba603a2 HTTP/1.1" 200 None
[2020-01-17 09:16:52,552] D:\python demo\OperationalInterface\src\utils\log\log.py->log line:39 [DEBUG]根据：'swyonghu'，数据属性：'swyonghu'，返回的数据类型：'roleName'，返回的数据： [{'name': '普通用户'}] 
[2020-01-17 09:16:53,023] D:\python demo\OperationalInterface\src\utils\log\log.py->log line:39 [DEBUG]根据：'swyonghu'，数据属性：'swyonghu'，返回的数据类型：'userID'，返回的数据： [{'id': '9d62886934e2444d9ba8168d8d8e958c'}] 
[2020-01-17 09:16:53,141] D:\python demo\OperationalInterface\src\utils\log\log.py->log line:39 [DEBUG]根据单位ID查找用户表数据: SELECT mobile FROM sys_user WHERE login_name ='swyonghu' --> D:\python demo\OperationalInterface\src\utils\database\database_sql.py 97 
[2020-01-17 09:16:53,263] C:\Users\tdx\AppData\Local\Programs\Python\Python36\lib\site-packages\urllib3\connectionpool.py->_new_conn line:205 [DEBUG]Starting new HTTP connection (1): 47.106.245.240:8081
[2020-01-17 09:16:53,343] C:\Users\tdx\AppData\Local\Programs\Python\Python36\lib\site-packages\urllib3\connectionpool.py->_make_request line:393 [DEBUG]http://47.106.245.240:8081 "POST /eosp/a/login HTTP/1.1" 200 None
[2020-01-17 09:16:53,744] C:\Users\tdx\AppData\Local\Programs\Python\Python36\lib\site-packages\urllib3\connectionpool.py->_new_conn line:205 [DEBUG]Starting new HTTP connection (1): 47.106.245.240:8081
[2020-01-17 09:16:53,867] C:\Users\tdx\AppData\Local\Programs\Python\Python36\lib\site-packages\urllib3\connectionpool.py->_make_request line:393 [DEBUG]http://47.106.245.240:8081 "POST /eosp/a/app/sj/sjTicketServe/MyRepairListData;JSESSIONID=a850292b368943809dd951c9e872c769 HTTP/1.1" 200 None
[2020-01-17 09:16:54,516] D:\python demo\OperationalInterface\src\utils\log\log.py->log line:39 [DEBUG]根据：'swyonghu'，数据属性：'swyonghu'，返回的数据类型：'roleName'，返回的数据： [{'name': '普通用户'}] 
[2020-01-17 09:16:54,974] D:\python demo\OperationalInterface\src\utils\log\log.py->log line:39 [DEBUG]根据：'swyonghu'，数据属性：'swyonghu'，返回的数据类型：'userID'，返回的数据： [{'id': '9d62886934e2444d9ba8168d8d8e958c'}] 
[2020-01-17 09:16:55,081] D:\python demo\OperationalInterface\src\utils\log\log.py->log line:39 [DEBUG]根据单位ID查找用户表数据: SELECT mobile FROM sys_user WHERE login_name ='swyonghu' --> D:\python demo\OperationalInterface\src\utils\database\database_sql.py 97 
[2020-01-17 09:16:55,195] C:\Users\tdx\AppData\Local\Programs\Python\Python36\lib\site-packages\urllib3\connectionpool.py->_new_conn line:205 [DEBUG]Starting new HTTP connection (1): 47.106.245.240:8081
[2020-01-17 09:16:55,278] C:\Users\tdx\AppData\Local\Programs\Python\Python36\lib\site-packages\urllib3\connectionpool.py->_make_request line:393 [DEBUG]http://47.106.245.240:8081 "POST /eosp/a/login HTTP/1.1" 200 None
[2020-01-17 09:16:55,638] C:\Users\tdx\AppData\Local\Programs\Python\Python36\lib\site-packages\urllib3\connectionpool.py->_new_conn line:205 [DEBUG]Starting new HTTP connection (1): 47.106.245.240:8081
[2020-01-17 09:16:55,772] C:\Users\tdx\AppData\Local\Programs\Python\Python36\lib\site-packages\urllib3\connectionpool.py->_make_request line:393 [DEBUG]http://47.106.245.240:8081 "POST /eosp/a/app/sj/sjTicketServe/MyRepairListData;JSESSIONID=a8573fdb6ee345a99f25716a199b3279 HTTP/1.1" 200 None
[2020-01-17 09:16:56,168] C:\Users\tdx\AppData\Local\Programs\Python\Python36\lib\site-packages\urllib3\connectionpool.py->_new_conn line:205 [DEBUG]Starting new HTTP connection (1): 47.106.245.240:8081
[2020-01-17 09:16:56,262] C:\Users\tdx\AppData\Local\Programs\Python\Python36\lib\site-packages\urllib3\connectionpool.py->_make_request line:393 [DEBUG]http://47.106.245.240:8081 "POST /eosp/a/app/sys/dict/getDictByKey?JSESSIONID=a8573fdb6ee345a99f25716a199b3279 HTTP/1.1" 200 None
[2020-01-17 09:16:56,300] C:\Users\tdx\AppData\Local\Programs\Python\Python36\lib\site-packages\urllib3\connectionpool.py->_new_conn line:205 [DEBUG]Starting new HTTP connection (1): 47.106.245.240:8081
[2020-01-17 09:16:56,390] C:\Users\tdx\AppData\Local\Programs\Python\Python36\lib\site-packages\urllib3\connectionpool.py->_make_request line:393 [DEBUG]http://47.106.245.240:8081 "POST /eosp/a/app/sys/dict/getDictByKey?JSESSIONID=a8573fdb6ee345a99f25716a199b3279 HTTP/1.1" 200 None
[2020-01-17 09:16:56,452] C:\Users\tdx\AppData\Local\Programs\Python\Python36\lib\site-packages\urllib3\connectionpool.py->_new_conn line:205 [DEBUG]Starting new HTTP connection (1): 47.106.245.240:8081
[2020-01-17 09:16:56,539] C:\Users\tdx\AppData\Local\Programs\Python\Python36\lib\site-packages\urllib3\connectionpool.py->_make_request line:393 [DEBUG]http://47.106.245.240:8081 "POST /eosp/a/app/sys/dict/getDictByKey?JSESSIONID=a8573fdb6ee345a99f25716a199b3279 HTTP/1.1" 200 None
